Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,88,95.1,1.8,14694.557428359985
2,98,55,78.0,2.6,13529.709577560425
3,98,88,96.0,1.6,13721.145391464233
4,98,83,94.9,1.8,13645.021200180054
5,98,87,95.9,1.9,13816.439867019653
6,98,70,85.5,2.0,14436.371326446533
7,98,68,85.2,2.1,14144.100904464722
8,98,96,97.5,1.7,14000.415563583374
9,98,83,95.7,1.8,16044.443845748901
10,98,77,93.4,2.0,14342.398881912231
11,98,54,80.8,2.3,15081.468343734741
12,98,83,95.0,1.7,14479.811668395996
13,98,82,92.8,1.9,14003.53193283081
14,98,68,85.1,2.2,13538.589477539062
15,98,85,94.3,1.9,15356.657028198242
16,98,84,95.3,1.8,14359.578132629395
17,98,67,89.6,1.9,12520.988702774048
18,98,82,93.1,1.9,13180.67455291748
19,98,74,91.6,1.9,14336.586475372314
20,98,85,94.0,1.9,13337.41021156311
21,98,71,88.3,2.0,14682.14750289917
22,98,84,94.8,2.0,14425.35376548767
23,98,89,95.3,1.9,15211.159706115723
24,98,97,97.6,1.9,14052.707433700562
25,98,79,89.1,2.1,13346.534013748169
26,98,78,91.0,2.0,13983.316659927368
27,98,94,96.5,1.8,13962.430715560913
28,98,78,91.3,2.1,15514.582395553589
29,98,67,84.1,2.2,13010.812520980835
30,98,83,93.8,1.7,13539.878606796265
31,98,68,88.8,2.3,14436.45191192627
32,98,64,84.4,2.1,13707.394361495972
33,98,83,92.7,1.9,15837.048053741455
34,98,75,87.4,2.1,12121.8421459198
35,98,95,97.2,1.8,14348.520517349243
36,98,97,97.4,1.6,13522.302150726318
37,98,82,91.7,1.8,15088.210821151733
38,98,72,80.7,2.3,13879.156589508057
39,98,77,94.1,1.9,15400.895118713379
40,98,71,89.2,2.0,14397.340536117554
41,98,67,89.7,1.9,15036.48853302002
42,98,72,92.2,1.7,14336.898565292358
43,98,75,89.5,1.9,14410.755634307861
44,98,96,97.5,1.8,14821.994304656982
45,98,65,88.5,2.0,14811.100959777832
46,98,88,93.9,1.9,13379.03094291687
47,98,66,88.6,2.0,15094.819784164429
48,98,79,90.7,1.8,12482.706069946289
49,98,78,93.2,1.8,15485.554695129395
50,98,80,94.0,1.7,14809.463024139404
Media ,98.0,78.58,91.43999999999997,1.9339999999999997,14234.135971069336
