Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.7,1.8,31457.745790481567
2,98,97,97.4,1.9,32312.05463409424
3,98,97,97.3,1.9,31991.195917129517
4,98,97,97.6,1.9,31328.98259162903
5,98,97,97.3,1.8,32897.98140525818
6,98,97,97.5,1.8,31797.038793563843
7,98,97,97.5,1.8,31540.117979049683
8,98,97,97.7,1.8,31262.310028076172
9,98,97,97.8,2.0,31447.19934463501
10,98,97,97.2,1.9,32615.182399749756
11,98,97,97.8,1.9,31313.027143478394
12,98,97,97.7,1.8,30958.847999572754
13,98,97,97.7,1.6,31324.02729988098
14,98,97,97.4,1.9,32041.59164428711
15,98,97,97.5,1.8,32183.293342590332
16,98,97,97.7,1.7,31673.981189727783
17,98,97,97.2,1.9,32867.65003204346
18,98,97,97.6,2.0,31386.289834976196
19,98,97,97.5,1.8,32053.685188293457
20,98,97,97.7,1.9,31277.538299560547
21,98,97,97.6,1.9,30536.98468208313
22,98,97,97.5,1.8,31833.53281021118
23,98,97,97.6,2.0,31377.655267715454
24,98,97,97.7,1.7,31766.39461517334
25,98,97,97.6,1.8,31745.97454071045
26,98,97,97.7,1.8,32099.454164505005
27,98,97,97.2,1.9,32153.97572517395
28,98,97,97.7,1.7,31225.37088394165
29,98,97,97.7,1.8,31216.262817382812
30,98,97,97.4,1.9,32074.973344802856
31,98,97,97.4,1.9,31897.289037704468
32,98,97,97.7,1.8,31200.87695121765
33,98,97,97.2,1.8,31916.786670684814
34,98,97,97.4,1.9,32168.97678375244
35,98,97,97.5,2.0,31762.62855529785
36,98,97,97.7,1.9,31264.298915863037
37,98,97,97.6,1.8,31855.72838783264
38,98,97,97.4,1.9,31864.688396453857
39,98,97,97.6,1.8,31702.515602111816
40,98,97,97.8,1.8,30443.1414604187
41,98,97,97.6,1.9,31077.597856521606
42,98,97,97.5,1.8,32267.138719558716
43,98,97,97.7,1.9,31370.636224746704
44,98,97,97.5,1.8,31550.29058456421
45,98,97,97.7,1.8,30747.832775115967
46,98,97,97.7,1.7,31743.943691253662
47,98,97,97.4,1.8,32057.021379470825
48,98,97,97.1,1.9,32049.46517944336
49,98,97,97.5,1.9,30967.87714958191
50,98,97,97.7,1.9,30602.95605659485
Media ,98.0,97.0,97.54399999999995,1.844,31645.44020175934
