Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.7,1.9,32720.16429901123
2,98,97,97.7,1.9,32734.591484069824
3,98,97,97.7,1.9,33493.5564994812
4,98,97,97.2,1.8,34497.493743896484
5,98,97,97.8,1.9,32622.315406799316
6,98,97,97.5,1.7,34180.71413040161
7,98,97,97.7,1.9,32602.470636367798
8,98,97,97.7,1.9,32737.55383491516
9,98,97,97.3,1.9,34300.46629905701
10,98,97,97.5,1.8,33607.84697532654
11,98,97,97.6,1.8,33504.963636398315
12,98,97,97.7,1.8,33162.86516189575
13,98,97,97.6,1.6,34543.90525817871
14,98,97,97.8,1.8,32526.664972305298
15,98,97,97.3,1.8,34198.31991195679
16,98,97,97.8,1.8,32740.01979827881
17,98,97,97.3,1.7,34583.53567123413
18,98,97,97.8,1.7,33319.615840911865
19,98,97,97.4,1.9,33940.916299819946
20,98,97,97.7,1.9,33127.112865448
21,98,97,97.8,1.8,32738.131523132324
22,98,97,97.6,1.8,33494.55714225769
23,98,97,97.5,1.8,34431.41484260559
24,98,97,97.2,1.8,34492.70939826965
25,98,97,97.6,1.9,33608.5569858551
26,98,97,97.7,1.9,32507.582902908325
27,98,97,97.8,1.8,33196.76375389099
28,98,97,97.6,1.8,33475.61955451965
29,98,97,97.4,1.8,34207.90672302246
30,98,97,97.4,1.9,34068.7735080719
31,98,97,97.5,2.0,33344.39420700073
32,98,97,97.3,1.9,34286.367416381836
33,98,97,97.5,1.8,34140.976667404175
34,98,97,97.2,1.9,34806.739807128906
35,98,97,97.2,1.9,34457.92865753174
36,98,97,97.7,1.8,33265.24019241333
37,98,97,97.7,1.9,32872.55358695984
38,98,97,97.6,1.7,34171.5943813324
39,98,97,97.3,1.8,34904.97589111328
40,98,97,97.4,1.9,34312.570571899414
41,98,97,97.6,2.0,33255.93018531799
42,98,97,97.7,1.9,32567.58952140808
43,98,97,97.3,1.8,34733.84237289429
44,98,97,97.8,1.8,33228.00517082214
45,98,97,97.2,1.9,34679.09073829651
46,98,97,97.6,1.6,34114.4917011261
47,98,97,97.4,2.0,33643.78643035889
48,98,97,97.7,1.9,32682.987213134766
49,98,97,97.4,1.9,34482.43975639343
50,98,97,97.6,1.9,33602.79631614685
Media ,98.0,97.0,97.54199999999999,1.84,33658.42819690704
