Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,76,50,59.1,3.4,4.660129547119141
2,97,54,67.2,3.1,304.6398162841797
3,97,60,71.5,2.7,218.07241439819336
4,98,65,77.7,2.4,252.51245498657227
5,98,72,84.7,2.3,200.2887725830078
6,98,76,89.2,2.1,212.32008934020996
7,98,78,89.5,2.1,211.79914474487305
8,98,79,89.7,2.1,239.33696746826172
9,98,79,89.7,2.1,228.73950004577637
10,98,79,89.7,2.1,210.129976272583
11,98,79,89.7,2.1,233.6118221282959
12,98,79,89.7,2.1,201.01523399353027
13,98,79,89.7,2.1,226.64213180541992
14,98,79,89.7,2.1,238.17706108093262
15,98,80,90.2,2.0,217.66328811645508
16,98,81,93.1,2.2,199.89490509033203
17,98,81,93.1,2.2,241.83058738708496
18,98,84,94.5,2.1,206.48908615112305
19,98,84,94.5,2.1,207.0760726928711
20,98,84,94.5,2.1,228.29914093017578
21,98,84,94.5,2.1,213.7277126312256
22,98,94,96.1,2.0,204.90217208862305
23,98,94,96.1,2.0,229.2635440826416
24,98,94,96.1,2.0,242.64955520629883
25,98,94,96.4,2.0,272.3701000213623
26,98,94,96.4,2.0,268.2814598083496
27,98,94,96.4,2.0,270.982027053833
28,98,95,96.7,2.0,227.75697708129883
29,98,95,96.7,2.0,208.95051956176758
30,98,95,96.7,2.0,230.2861213684082
31,98,95,96.7,2.0,217.43392944335938
32,98,95,96.7,2.0,253.06129455566406
33,98,95,96.7,2.0,256.24895095825195
34,98,95,96.7,2.0,237.81085014343262
35,98,95,96.7,2.0,258.2712173461914
36,98,95,96.7,2.0,250.40626525878906
37,98,95,96.7,2.0,261.08574867248535
38,98,95,96.7,2.0,236.65571212768555
39,98,95,96.7,2.0,251.93476676940918
40,98,95,96.7,2.0,210.55340766906738
41,98,95,96.7,2.0,230.22198677062988
42,98,95,96.7,2.0,218.43886375427246
43,98,95,96.7,2.0,242.5694465637207
44,98,95,96.7,2.0,241.11175537109375
45,98,95,96.7,2.0,242.38967895507812
46,98,95,96.7,2.0,235.46862602233887
47,98,95,96.7,2.0,221.06051445007324
48,98,95,96.7,2.0,270.1451778411865
49,98,95,96.7,2.0,245.8364963531494
50,98,95,96.7,2.0,238.8896942138672
51,98,95,96.7,2.0,235.92782020568848
52,98,95,96.7,2.0,252.52628326416016
53,98,95,96.7,2.0,221.144437789917
54,98,96,97.1,2.0,212.4934196472168
55,98,96,97.1,2.0,227.66709327697754
56,98,96,97.1,2.0,239.8514747619629
57,98,96,97.1,2.0,238.4798526763916
58,98,96,97.1,2.0,249.32265281677246
59,98,96,97.1,2.0,215.3928279876709
60,98,96,97.1,2.0,253.16548347473145
61,98,96,97.1,2.0,249.2210865020752
62,98,96,97.1,2.0,258.10956954956055
63,98,96,97.1,2.0,229.88247871398926
64,98,96,97.1,2.0,254.32562828063965
65,98,97,97.3,2.0,228.49583625793457
66,98,97,97.3,2.0,202.75235176086426
67,98,97,97.4,2.0,218.01114082336426
68,98,97,97.4,2.0,271.60120010375977
69,98,97,97.4,2.0,230.2243709564209
70,98,97,97.4,2.0,227.27632522583008
71,98,97,97.4,2.0,231.06789588928223
72,98,97,97.4,2.0,236.45877838134766
73,98,97,97.4,2.0,249.4974136352539
74,98,97,97.4,2.0,229.45356369018555
75,98,97,97.4,2.0,266.82257652282715
76,98,97,97.4,2.0,201.5683650970459
77,98,97,97.4,2.0,282.93895721435547
78,98,97,97.4,2.0,230.8664321899414
79,98,97,97.4,2.0,229.05230522155762
80,98,97,97.5,2.0,243.87502670288086
81,98,97,97.5,2.0,254.7473907470703
82,98,97,97.6,2.0,213.61804008483887
83,98,97,97.6,2.0,233.36434364318848
84,98,97,97.6,2.0,215.5599594116211
85,98,97,97.6,2.0,221.04167938232422
86,98,97,97.6,2.0,245.08404731750488
87,98,97,97.6,2.0,228.3041477203369
88,98,97,97.6,2.0,220.2918529510498
89,98,97,97.6,2.0,214.0827178955078
90,98,97,97.6,2.0,245.15867233276367
91,98,97,97.6,2.0,234.97748374938965
92,98,97,97.6,2.0,226.43113136291504
93,98,97,97.6,2.0,232.8484058380127
94,98,97,97.6,2.0,226.59707069396973
95,98,97,97.6,2.0,264.10436630249023
96,98,97,97.6,2.0,228.5134792327881
97,98,97,97.6,2.0,211.181640625
98,98,97,97.6,2.0,238.33632469177246
99,98,97,97.6,2.0,269.2255973815918
100,98,97,97.6,2.0,232.01298713684082
Media ,98.0,97.0,97.6,2.0,232.01298713684082
