Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.6,1.8,17400.550603866577
2,98,97,97.5,1.8,18519.039630889893
3,98,97,97.4,1.9,18299.86524581909
4,98,96,97.1,1.8,15626.344442367554
5,98,97,97.1,1.9,17356.884956359863
6,98,96,97.1,1.9,18343.34683418274
7,98,96,97.0,1.9,17673.924922943115
8,98,95,96.8,1.9,18457.267999649048
9,98,97,97.5,1.9,17785.0980758667
10,98,96,97.3,1.7,16148.670196533203
11,98,97,97.6,1.8,17507.01141357422
12,98,97,97.5,1.8,15843.312978744507
13,98,97,97.6,1.9,17362.89143562317
14,98,96,97.1,1.8,16204.137086868286
15,98,97,97.3,1.9,17059.890270233154
16,98,97,97.4,1.9,17693.50290298462
17,98,97,97.5,1.9,18258.875608444214
18,98,96,97.0,2.0,16598.844051361084
19,98,96,97.1,1.9,18807.011365890503
20,98,96,97.3,1.8,18126.641750335693
21,98,97,97.6,1.9,17336.861848831177
22,98,97,97.6,2.0,17503.00145149231
23,98,95,97.0,1.8,18876.45959854126
24,98,97,97.7,1.8,17729.304552078247
25,98,97,97.5,1.9,18032.062292099
26,98,97,97.5,1.9,17583.139419555664
27,98,96,97.0,1.8,16588.6549949646
28,98,97,97.5,1.7,18681.86044692993
29,98,97,97.4,1.8,18263.892889022827
30,98,96,97.1,1.7,16571.837425231934
31,98,97,97.5,1.7,17779.536724090576
32,98,95,96.9,1.9,15991.302013397217
33,98,97,97.3,1.8,19176.26404762268
34,98,96,97.0,1.9,17400.56872367859
35,98,97,97.3,1.9,19117.740631103516
36,98,97,97.6,1.9,17679.13007736206
37,98,94,96.1,1.9,17500.296592712402
38,98,97,97.6,1.9,17514.361143112183
39,98,95,96.8,1.9,18829.91862297058
40,98,96,97.0,1.8,15739.146947860718
41,98,96,97.2,1.9,17898.256063461304
42,98,97,97.6,1.7,17791.675090789795
43,98,96,97.2,1.7,16704.16212081909
44,98,96,96.6,1.9,17245.62406539917
45,98,97,97.6,1.8,17966.724395751953
46,98,97,97.4,1.9,18284.554958343506
47,98,97,97.5,1.8,17209.52582359314
48,98,97,97.6,1.8,17301.05185508728
49,98,97,97.7,1.7,17000.67687034607
50,98,94,96.8,1.7,16930.586338043213
Media ,98.0,96.42,97.28,1.8400000000000005,17546.025795936584
