Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,90,96.5,1.7,9241.926908493042
2,98,79,90.2,2.1,9031.255006790161
3,98,78,92.4,2.0,9043.4250831604
4,98,68,80.9,2.1,8635.181188583374
5,98,82,92.8,1.9,8439.489841461182
6,98,81,95.1,1.9,9344.672679901123
7,98,55,79.5,2.1,8010.485887527466
8,98,82,96.1,1.8,8822.412014007568
9,98,66,83.8,2.2,8956.766843795776
10,98,67,81.9,2.0,7989.231586456299
11,98,66,81.4,2.2,8750.96869468689
12,98,66,77.9,2.2,7900.205135345459
13,98,70,85.5,2.4,8625.73790550232
14,98,77,89.3,2.1,8990.872859954834
15,98,77,90.5,1.9,9200.615167617798
16,98,88,95.3,1.9,8827.457904815674
17,98,72,90.5,2.2,8522.460222244263
18,98,64,84.5,2.3,8475.79574584961
19,98,59,79.7,2.4,8287.617444992065
20,98,86,95.9,1.8,8421.181678771973
21,98,66,81.8,2.3,9083.006381988525
22,98,93,96.9,1.9,8786.518096923828
23,98,73,92.6,2.0,8678.136587142944
24,98,58,82.9,2.3,8973.801374435425
25,98,95,97.0,1.8,8328.224182128906
26,98,61,82.1,2.5,8139.394998550415
27,98,80,95.5,1.9,8782.05418586731
28,98,83,94.7,1.7,8680.590629577637
29,98,52,77.4,2.3,9791.416645050049
30,98,90,96.2,1.8,8773.443222045898
31,98,48,72.0,2.6,9113.436222076416
32,98,81,90.0,2.2,9304.41951751709
33,98,63,82.5,2.3,8676.28288269043
34,98,72,87.2,2.2,8751.949310302734
35,98,83,93.9,1.9,9283.259868621826
36,98,67,82.7,2.2,9798.0375289917
37,98,72,89.5,2.0,7798.830509185791
38,98,65,85.0,2.3,9058.92038345337
39,98,87,95.7,1.9,8937.86883354187
40,98,80,90.1,2.0,8771.264791488647
41,98,75,89.6,2.1,8612.934589385986
42,98,67,87.3,2.2,8769.946098327637
43,98,94,96.7,1.8,8904.633283615112
44,98,51,72.2,2.7,8214.13779258728
45,98,70,93.0,1.9,9073.023557662964
46,98,78,90.7,2.0,9174.155950546265
47,98,55,74.9,2.5,8425.174236297607
48,98,55,80.9,2.4,9358.458518981934
49,98,63,83.2,2.1,8100.159645080566
50,98,65,88.0,1.9,8671.854496002197
Media ,98.0,72.3,87.63799999999996,2.0980000000000003,8766.661882400513
