Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.9,1.8,44198.79770278931
2,98,97,97.8,1.8,42583.900690078735
3,98,97,97.4,1.7,42728.19995880127
4,98,97,97.7,1.7,44798.40064048767
5,98,97,97.4,1.8,43282.915353775024
6,98,97,97.9,1.7,42618.196964263916
7,98,97,97.6,1.6,43398.183822631836
8,98,97,97.7,1.6,44434.11421775818
9,98,98,98.0,1.6,42637.805461883545
10,98,97,97.7,1.6,45668.209075927734
11,98,97,97.6,1.9,42750.056743621826
12,98,97,97.6,1.5,44151.95441246033
13,98,97,97.7,1.9,44043.832540512085
14,98,97,97.7,1.6,43705.99055290222
15,98,97,97.3,1.8,47260.425090789795
16,98,97,97.7,1.8,43393.66602897644
17,98,97,97.8,1.8,42685.399293899536
18,98,97,97.7,1.7,43209.956884384155
19,98,97,97.5,1.6,40616.48464202881
20,98,97,97.7,2.0,47148.948669433594
21,98,97,97.4,1.8,41317.824840545654
22,98,97,97.7,1.7,44383.442401885986
23,98,97,97.9,1.7,42578.5927772522
24,98,97,97.7,1.8,42459.00535583496
25,98,97,97.5,1.6,45227.550983428955
26,98,97,97.8,1.7,44792.370319366455
27,98,97,97.5,1.6,44228.52659225464
28,98,97,97.8,1.7,42892.494678497314
29,98,97,97.2,1.9,47934.71050262451
30,98,97,97.6,1.7,43041.53490066528
31,98,97,97.6,1.7,45480.32641410828
32,98,97,97.8,1.7,43734.734773635864
33,98,97,97.4,1.8,42979.376554489136
34,98,97,97.7,1.8,42793.04099082947
35,98,97,97.4,1.7,43098.81067276001
36,98,97,97.3,1.9,47766.329765319824
37,98,97,97.4,1.9,43834.752321243286
38,98,97,97.7,1.8,43571.49815559387
39,98,97,97.7,1.7,42703.80425453186
40,98,98,98.0,1.7,44041.712045669556
41,98,97,97.5,1.6,45908.99085998535
42,98,97,97.7,1.8,43096.95553779602
43,98,97,97.3,1.8,47463.65237236023
44,98,97,97.6,1.9,43113.63387107849
45,98,97,97.8,1.8,43125.92935562134
46,98,97,97.8,1.9,42332.29994773865
47,98,97,97.5,1.7,43923.022508621216
48,98,98,98.0,1.6,43858.22510719299
49,98,97,97.4,1.7,46710.224866867065
50,98,97,97.4,1.6,38613.90519142151
Media ,98.0,97.06,97.63,1.7360000000000002,43846.45435333252
