Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.4,1.9,31495.954990386963
2,98,97,97.7,1.8,31011.48796081543
3,98,97,97.7,1.7,32614.33720588684
4,98,97,97.6,1.7,31593.945503234863
5,98,97,97.5,1.7,33530.8473110199
6,98,98,98.0,1.6,30637.43805885315
7,98,97,97.5,1.8,29881.251096725464
8,98,97,97.5,1.9,32217.495441436768
9,98,97,97.5,1.8,31792.773008346558
10,98,97,97.5,1.8,30823.83942604065
11,98,97,97.6,1.8,30718.6439037323
12,98,97,97.4,1.8,32048.59185218811
13,98,96,97.0,1.9,32014.13083076477
14,98,97,97.7,1.8,31983.82067680359
15,98,97,97.3,1.7,29518.741369247437
16,98,97,97.6,1.7,32333.63175392151
17,98,97,97.4,1.8,31470.444440841675
18,98,97,97.8,1.7,30705.491065979004
19,98,97,97.6,1.8,31101.255655288696
20,98,97,97.5,1.7,31688.466787338257
21,98,97,97.4,1.7,34465.770959854126
22,98,97,97.6,1.8,31274.64246749878
23,98,97,97.6,1.9,30767.221212387085
24,98,97,97.1,1.9,30814.451456069946
25,98,96,96.9,2.0,30122.153282165527
26,98,97,97.2,1.9,32832.335233688354
27,98,97,97.8,1.7,31528.324365615845
28,98,98,98.0,1.5,30905.7297706604
29,98,97,97.7,1.9,30410.66813468933
30,98,97,97.7,1.8,31369.07196044922
31,98,97,97.5,1.8,32838.709592819214
32,98,97,97.6,1.8,30508.69059562683
33,98,97,97.5,1.8,31807.080507278442
34,98,97,97.4,1.8,32510.634899139404
35,98,97,97.7,1.8,31677.011728286743
36,98,97,97.4,1.6,29237.820625305176
37,98,97,97.5,1.8,31524.648904800415
38,98,97,97.4,1.6,30136.50894165039
39,98,97,97.4,1.7,32767.611265182495
40,98,97,97.7,1.8,30807.0650100708
41,98,97,97.5,1.8,31443.77565383911
42,98,97,97.5,1.7,30442.70157814026
43,98,97,97.4,1.8,32599.23791885376
44,98,97,97.8,1.9,30782.269716262817
45,98,97,97.5,1.7,30969.28095817566
46,98,97,97.4,1.8,31670.199155807495
47,98,97,97.3,1.7,28373.613595962524
48,98,97,97.5,1.8,32324.448823928833
49,98,97,97.5,1.7,32573.378324508667
50,98,97,97.2,1.8,30900.672912597656
Media ,98.0,97.0,97.50999999999998,1.7739999999999996,31391.366357803345
