Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,95,96.4,1.9,13751.917600631714
2,98,95,97.3,1.9,13159.094095230103
3,98,94,96.3,2.0,13276.575565338135
4,98,95,96.8,1.9,14312.291860580444
5,98,96,97.2,1.9,13157.867193222046
6,98,96,97.1,1.9,12897.678136825562
7,98,96,97.0,1.9,13034.145832061768
8,98,90,94.7,1.9,13944.07343864441
9,98,94,96.2,2.0,12688.977003097534
10,98,94,96.5,1.8,13090.631246566772
11,98,97,97.6,1.9,13090.515613555908
12,98,95,96.8,1.8,13190.157651901245
13,98,95,96.8,1.8,12805.07206916809
14,98,95,96.6,1.9,12303.763151168823
15,98,88,95.7,1.9,13970.511674880981
16,98,97,97.5,1.9,13332.53288269043
17,98,95,96.9,1.8,12882.655143737793
18,98,95,97.1,1.9,12829.795122146606
19,98,97,97.8,1.8,12720.252752304077
20,98,95,96.8,1.7,12883.154392242432
21,98,97,97.5,1.9,12811.201810836792
22,98,95,96.5,1.8,12059.449911117554
23,98,97,97.5,1.9,12270.45464515686
24,98,94,96.2,1.9,11921.692609786987
25,98,95,97.2,1.9,12715.62385559082
26,98,94,96.7,1.8,13409.6040725708
27,98,94,96.8,1.8,11795.96471786499
28,98,94,96.5,1.7,12644.086599349976
29,98,94,96.5,1.9,14357.865810394287
30,98,88,95.5,1.9,12801.304578781128
31,98,95,96.9,1.7,12700.492143630981
32,98,94,95.9,1.9,12701.746225357056
33,98,97,97.4,1.9,12448.161363601685
34,98,94,96.3,1.9,13850.722551345825
35,98,88,94.3,1.7,11876.807928085327
36,98,96,97.0,1.9,13530.304908752441
37,98,97,97.5,1.9,12614.049911499023
38,98,96,97.2,1.9,13144.716024398804
39,98,97,97.4,1.8,11939.365148544312
40,98,97,97.5,1.8,12716.577529907227
41,98,95,96.6,1.9,11620.763540267944
42,98,97,97.4,2.0,12468.535423278809
43,98,95,97.0,1.9,12796.16641998291
44,98,97,97.7,1.7,12390.69414138794
45,98,97,97.5,1.8,12423.574447631836
46,98,97,97.6,1.8,13054.751873016357
47,98,97,97.4,1.9,12930.529356002808
48,98,97,97.5,1.8,13015.785694122314
49,98,95,96.5,2.0,13208.818197250366
50,98,95,97.0,1.9,13285.273551940918
Media ,98.0,94.98,96.832,1.862,12896.534948348999
