Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.2,1.8,23144.388914108276
2,98,96,96.9,1.9,25062.918663024902
3,98,97,97.7,1.9,25405.924081802368
4,98,96,97.1,1.8,23664.155960083008
5,98,96,97.1,1.7,28141.28017425537
6,98,97,97.3,1.9,28108.185052871704
7,98,97,97.9,1.7,26624.593257904053
8,98,97,97.3,1.8,26961.38834953308
9,98,97,97.5,1.8,26801.58805847168
10,98,97,97.7,1.8,25722.43571281433
11,98,97,97.5,1.9,26598.798274993896
12,98,97,97.3,1.8,25883.570432662964
13,98,96,97.3,1.7,27569.57745552063
14,98,97,97.6,2.0,25367.939233779907
15,98,97,97.5,1.8,26241.676092147827
16,98,96,97.3,1.8,27009.81092453003
17,98,96,96.9,1.9,26205.127477645874
18,98,97,97.5,1.7,27279.516458511353
19,98,96,97.3,1.8,27551.937103271484
20,98,97,97.6,1.8,25779.51741218567
21,98,97,97.5,1.6,27133.589506149292
22,98,97,97.6,1.9,25496.367692947388
23,98,96,96.8,1.9,28488.96050453186
24,98,97,97.4,2.0,26828.535318374634
25,98,97,97.6,1.9,25208.280086517334
26,98,97,97.4,1.9,26137.13312149048
27,98,96,97.1,1.7,23515.697479248047
28,98,96,97.1,1.8,23873.68631362915
29,98,97,97.7,1.8,25883.26621055603
30,98,97,97.6,1.8,26216.325044631958
31,98,96,97.1,1.9,26885.65492630005
32,98,97,97.6,1.8,27214.05076980591
33,98,97,97.6,1.6,27947.60823249817
34,98,97,97.5,1.9,25436.35892868042
35,98,97,97.4,1.7,27207.992792129517
36,98,97,97.8,1.6,26052.924394607544
37,98,97,97.5,1.8,27767.081022262573
38,98,97,97.5,1.9,26044.642448425293
39,98,97,97.6,1.5,25371.437311172485
40,98,97,97.2,1.8,25588.472366333008
41,98,97,97.3,1.9,27846.938133239746
42,98,97,97.7,1.8,25754.374265670776
43,98,97,97.7,1.9,25864.473581314087
44,98,97,97.7,1.7,25992.688179016113
45,98,96,97.1,1.8,27741.788864135742
46,98,97,97.7,1.9,25534.241676330566
47,98,96,97.1,1.8,25366.52112007141
48,98,97,97.8,1.5,27003.74960899353
49,98,97,97.2,1.8,25310.513734817505
50,98,97,97.3,1.9,26506.523609161377
Media ,98.0,96.74,97.414,1.8019999999999998,26246.884126663208
