Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.2,1.9,35559.91888046265
2,98,97,97.7,1.5,36726.356506347656
3,98,97,97.4,1.8,36286.74840927124
4,98,97,97.6,1.9,36148.576498031616
5,98,97,97.3,1.8,33813.33088874817
6,98,96,97.2,1.9,34716.38250350952
7,98,97,97.4,1.8,33557.16633796692
8,98,97,97.5,1.8,35324.17893409729
9,98,97,97.8,1.7,34184.87453460693
10,98,97,97.7,1.8,33210.015058517456
11,98,97,97.5,1.7,34462.419271469116
12,98,97,97.6,1.6,36724.376916885376
13,98,97,97.4,1.7,34547.60265350342
14,98,97,97.4,1.6,30920.984506607056
15,98,97,97.6,1.7,34383.270025253296
16,98,97,97.6,1.5,35400.49433708191
17,98,97,97.6,1.9,34251.87659263611
18,98,97,97.7,1.8,33836.07769012451
19,98,97,97.8,1.8,34133.70704650879
20,98,97,97.5,1.9,35689.76283073425
21,98,97,97.5,1.8,33803.68089675903
22,98,97,97.7,1.7,34013.27300071716
23,98,97,97.8,1.7,33809.04197692871
24,98,97,97.9,1.5,35212.881565093994
25,98,98,98.0,1.5,33837.116956710815
26,98,97,97.6,1.8,35087.96691894531
27,98,97,97.5,1.9,35988.832235336304
28,98,96,97.2,1.7,32192.904949188232
29,98,97,97.4,1.7,33510.281562805176
30,98,97,97.3,1.8,34928.064584732056
31,98,97,97.5,1.7,33005.449533462524
32,98,97,97.4,1.8,34688.45868110657
33,98,97,97.4,1.7,34225.28409957886
34,98,97,97.6,1.7,35339.2813205719
35,98,97,97.8,1.8,33966.52793884277
36,98,97,97.8,1.8,33804.5437335968
37,98,97,97.9,1.7,34158.3993434906
38,98,97,97.5,1.7,34283.21647644043
39,98,97,97.8,1.8,33862.327337265015
40,98,97,97.2,1.9,34872.33781814575
41,98,97,97.3,1.8,36460.74819564819
42,98,97,97.6,1.8,35357.78069496155
43,98,97,97.8,1.7,34706.8030834198
44,98,97,97.7,1.7,36790.00449180603
45,98,97,97.6,1.5,33979.581117630005
46,98,97,97.4,1.8,35341.88914299011
47,98,97,97.6,1.9,34243.162631988525
48,98,97,97.7,1.6,34557.17325210571
49,98,97,97.4,1.7,36493.65520477295
50,98,97,97.5,1.8,36182.8076839447
Media ,98.0,96.98,97.558,1.7420000000000002,34651.63193702698
