Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.0,1.8,13207.946300506592
2,98,94,96.2,1.9,14213.448286056519
3,98,96,97.1,1.7,13418.915033340454
4,98,96,97.1,1.8,12489.352464675903
5,98,95,96.8,1.9,13992.07878112793
6,98,95,96.8,1.9,14325.440645217896
7,98,96,97.1,1.7,13077.895402908325
8,98,96,97.4,1.9,13288.509368896484
9,98,97,97.6,1.8,13900.34008026123
10,98,96,96.9,1.8,12866.50824546814
11,98,96,97.1,1.8,14119.702816009521
12,98,96,97.3,2.0,13515.052795410156
13,98,97,97.6,1.8,14334.399223327637
14,98,95,96.6,1.9,14082.582235336304
15,98,96,97.0,1.8,13941.607475280762
16,98,97,97.4,1.7,14607.883930206299
17,98,97,97.6,1.8,14192.034244537354
18,98,94,96.5,1.8,13853.83915901184
19,98,95,96.5,1.8,12801.000833511353
20,98,97,97.5,1.8,14878.961563110352
21,98,97,97.6,1.8,13859.145164489746
22,98,97,97.5,1.8,13810.022592544556
23,98,97,97.6,1.8,13964.548587799072
24,98,95,96.8,1.8,12599.435329437256
25,98,94,96.0,1.9,14285.899639129639
26,98,96,96.8,1.8,12544.90852355957
27,98,97,97.5,1.7,14487.03122138977
28,98,97,97.4,1.8,13219.299793243408
29,98,96,97.1,1.9,14138.490200042725
30,98,96,97.1,1.9,14395.645141601562
31,98,97,97.5,1.9,14187.251091003418
32,98,94,96.5,1.8,15185.438632965088
33,98,97,97.5,1.7,14958.15396308899
34,98,95,97.0,1.9,15284.439086914062
35,98,97,97.4,1.8,15098.225831985474
36,98,97,97.5,1.6,13729.871988296509
37,98,97,97.5,1.7,15180.346250534058
38,98,93,95.9,1.8,14037.307977676392
39,98,96,97.0,1.8,13463.635683059692
40,98,94,96.1,1.8,13126.487016677856
41,98,96,97.3,1.8,14773.329257965088
42,98,97,97.6,1.6,14223.548889160156
43,98,97,97.4,1.8,12863.497734069824
44,98,95,97.0,1.9,14934.186458587646
45,98,97,97.6,1.8,14403.825998306274
46,98,97,97.5,1.8,13841.230869293213
47,98,96,96.7,1.9,14072.606563568115
48,98,96,97.0,1.9,14489.017009735107
49,98,96,96.9,2.0,14135.04409790039
50,98,96,97.4,1.7,13825.84834098816
Media ,98.0,95.98,97.09599999999999,1.8119999999999994,13964.504356384277
