Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.2,1.8,21533.832788467407
2,98,97,97.3,1.8,21636.702060699463
3,98,97,97.4,1.7,20097.767114639282
4,98,96,96.8,1.9,22295.702695846558
5,98,96,97.2,1.8,21878.95178794861
6,98,97,97.4,1.9,21920.35150527954
7,98,96,96.9,1.9,20772.48454093933
8,98,97,97.4,1.9,21848.196268081665
9,98,96,97.3,1.8,21066.412448883057
10,98,97,97.2,1.9,23415.82179069519
11,98,96,97.1,1.9,21651.68309211731
12,98,96,97.3,1.7,20348.14190864563
13,98,97,97.7,1.8,20318.244695663452
14,98,96,97.2,1.7,21870.0590133667
15,98,97,97.7,1.8,20837.83459663391
16,98,97,97.1,1.9,20592.638731002808
17,98,95,96.9,1.8,22167.659759521484
18,98,96,97.1,2.0,22064.83483314514
19,98,97,97.3,1.8,21106.990337371826
20,98,96,97.2,1.8,20234.22646522522
21,98,96,97.1,1.8,18772.928476333618
22,98,96,97.2,1.8,20815.513849258423
23,98,97,97.5,1.9,20075.02007484436
24,98,97,97.3,1.9,19747.952222824097
25,98,97,97.7,1.6,19895.689487457275
26,98,97,97.5,1.7,20815.99760055542
27,98,97,97.6,1.9,20323.034048080444
28,98,97,97.4,1.9,21355.16381263733
29,98,97,97.7,1.7,20124.77993965149
30,98,97,97.6,1.8,21343.576908111572
31,98,96,96.9,1.9,20444.152116775513
32,98,96,97.1,1.9,20832.393646240234
33,98,97,97.8,1.7,20408.734798431396
34,98,97,97.5,1.9,20677.077770233154
35,98,97,97.2,1.8,18223.14739227295
36,98,97,97.7,1.8,20618.226051330566
37,98,96,97.1,2.0,21996.87671661377
38,98,95,96.3,2.0,19517.611026763916
39,98,97,97.4,1.9,21512.23373413086
40,98,97,97.5,1.8,20900.643825531006
41,98,96,97.0,1.8,21546.365976333618
42,98,96,97.2,1.8,21033.304929733276
43,98,97,97.7,1.7,20942.54732131958
44,98,95,96.3,1.9,19501.350164413452
45,98,97,97.5,1.9,19530.04741668701
46,98,96,97.2,1.8,21956.066608428955
47,98,97,97.4,1.8,20727.894067764282
48,98,97,97.4,1.9,21719.148635864258
49,98,97,97.5,1.9,21566.386938095093
50,98,97,97.7,1.8,20896.634817123413
Media ,98.0,96.52,97.29399999999995,1.8319999999999999,20909.58073616028
