Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.4,1.8,10469.836711883545
2,98,93,95.3,1.9,10204.610109329224
3,98,96,97.2,1.7,9532.13882446289
4,98,96,97.0,1.8,9473.074436187744
5,98,96,97.2,1.7,10475.364685058594
6,98,97,97.5,1.9,10391.511678695679
7,98,97,97.6,1.9,10397.694110870361
8,98,94,95.8,2.0,11183.718919754028
9,98,96,97.2,1.9,10175.934314727783
10,98,97,97.3,1.9,10365.509033203125
11,98,84,93.5,1.9,9204.670906066895
12,98,92,95.3,1.9,10006.491661071777
13,98,94,96.8,1.9,10629.19545173645
14,98,94,96.0,1.9,9772.281885147095
15,98,96,97.3,1.7,10441.022157669067
16,98,97,97.6,1.6,10097.817182540894
17,98,97,97.3,1.9,10351.803302764893
18,98,94,96.2,1.7,10124.022722244263
19,98,95,96.7,1.9,10173.843383789062
20,98,92,95.6,1.8,9829.79679107666
21,98,97,97.3,1.7,10282.148361206055
22,98,97,97.4,1.8,10287.924766540527
23,98,97,97.6,1.7,10344.096183776855
24,98,97,97.4,1.8,10238.734006881714
25,98,96,97.1,1.9,10682.315587997437
26,98,96,97.2,1.9,10967.211961746216
27,98,96,97.4,1.9,10488.149881362915
28,98,96,97.0,1.8,11428.457021713257
29,98,96,96.9,1.8,10724.29609298706
30,98,94,96.4,1.7,9739.204168319702
31,98,93,95.8,1.9,10972.142696380615
32,98,96,96.6,1.9,10284.103155136108
33,98,96,97.1,1.7,9520.395040512085
34,98,97,97.5,1.9,10368.658542633057
35,98,96,97.4,1.7,10249.810695648193
36,98,96,97.2,1.8,10573.561906814575
37,98,97,97.4,1.8,10499.064207077026
38,98,94,96.2,1.9,10062.524795532227
39,98,97,97.4,1.8,10958.070516586304
40,98,94,96.1,2.0,11443.014860153198
41,98,96,97.6,1.7,10508.044481277466
42,98,96,97.0,1.8,9487.870454788208
43,98,95,97.3,1.7,11052.645921707153
44,98,97,97.5,1.6,10257.609128952026
45,98,95,96.7,1.8,10567.447900772095
46,98,97,97.6,1.8,10270.941257476807
47,98,96,97.2,1.8,9929.24427986145
48,98,95,96.5,1.9,10380.439519882202
49,98,94,96.6,1.8,9887.162923812866
50,98,93,96.0,1.9,10390.276670455933
Media ,98.0,95.32,96.844,1.8179999999999996,10322.918105125427
