Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.6,1.8,24973.63567352295
2,98,96,97.4,1.8,25673.98738861084
3,98,97,97.4,1.9,24300.352334976196
4,98,97,97.5,1.7,26124.892234802246
5,98,96,97.4,1.9,25402.738094329834
6,98,97,97.6,1.8,25003.1635761261
7,98,97,97.7,1.8,24203.859567642212
8,98,96,97.2,1.9,24666.17202758789
9,98,97,97.4,2.0,24962.629795074463
10,98,96,97.1,1.8,23846.837043762207
11,98,97,97.4,1.8,26284.959316253662
12,98,97,97.3,1.8,25443.564653396606
13,98,96,97.2,1.9,24748.32582473755
14,98,97,97.3,1.8,24025.34818649292
15,98,94,95.9,1.9,24619.56524848938
16,98,96,96.9,1.9,21821.035623550415
17,98,97,97.7,1.8,23870.543241500854
18,98,97,97.7,1.7,24402.920246124268
19,98,97,97.6,1.9,24430.450677871704
20,98,97,97.4,1.8,24207.430124282837
21,98,97,97.4,1.9,24785.19034385681
22,98,97,97.6,1.9,24144.413232803345
23,98,96,96.8,1.8,23744.89998817444
24,98,97,97.7,1.7,25011.509895324707
25,98,97,97.7,1.8,24893.69034767151
26,98,97,97.3,1.8,25667.319774627686
27,98,97,97.5,1.8,24518.58901977539
28,98,97,97.5,1.8,25117.023468017578
29,98,96,96.9,1.8,21537.525177001953
30,98,97,97.3,1.8,25614.901304244995
31,98,97,97.3,1.9,25524.4243144989
32,98,97,97.9,1.7,23617.974281311035
33,98,97,97.4,1.9,25191.31565093994
34,98,97,97.3,1.9,25215.522527694702
35,98,96,97.2,1.9,25166.08238220215
36,98,97,97.3,1.8,24284.223318099976
37,98,97,97.3,1.8,24982.202529907227
38,98,97,97.5,1.9,24133.304119110107
39,98,97,97.3,1.9,26517.443895339966
40,98,95,96.7,1.9,24520.08557319641
41,98,97,97.5,1.8,23671.416759490967
42,98,96,96.9,1.9,24671.348333358765
43,98,97,97.3,2.0,24753.166437149048
44,98,97,97.4,1.9,24552.34456062317
45,98,97,97.5,1.8,23874.649047851562
46,98,97,97.3,1.8,24781.993865966797
47,98,96,96.8,1.9,25151.321411132812
48,98,96,97.0,1.9,24499.345302581787
49,98,96,97.0,1.8,23606.913566589355
50,98,97,97.6,1.8,24204.782485961914
Media ,98.0,96.64,97.31800000000003,1.84,24619.346675872803
