Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.7,1.8,33703.00626754761
2,98,97,97.2,1.8,32863.67750167847
3,98,97,97.6,1.7,35795.058488845825
4,98,97,97.3,1.9,35138.08465003967
5,98,97,97.4,1.8,35889.44721221924
6,98,97,97.1,1.9,32645.7359790802
7,98,97,97.3,1.7,33090.96908569336
8,98,97,97.8,1.8,33712.111949920654
9,98,97,97.2,1.8,33270.118951797485
10,98,97,97.5,1.8,35743.78323554993
11,98,97,97.7,1.8,33493.53361129761
12,98,97,97.5,1.7,33602.74863243103
13,98,97,97.2,1.9,35474.427700042725
14,98,97,97.8,1.8,34599.470376968384
15,98,97,97.3,1.7,32706.265687942505
16,98,97,97.7,1.8,34209.62738990784
17,98,97,97.2,1.9,33640.77806472778
18,98,97,97.3,1.8,34034.486055374146
19,98,97,97.3,1.9,34649.895668029785
20,98,97,97.7,1.9,33782.14454650879
21,98,97,97.7,1.6,34458.71305465698
22,98,97,97.2,1.9,33867.43354797363
23,98,96,97.1,1.8,33804.60619926453
24,98,97,97.6,1.8,35267.173528671265
25,98,97,97.8,1.8,33648.59843254089
26,98,97,97.3,1.9,38137.94159889221
27,98,97,97.2,1.9,35118.351459503174
28,98,97,97.7,1.8,33306.636095047
29,98,97,97.4,1.6,31572.10111618042
30,98,97,97.6,1.8,33801.942110061646
31,98,97,97.9,1.7,35239.808559417725
32,98,97,97.8,1.8,33021.775245666504
33,98,97,97.7,1.9,32919.64411735535
34,98,97,97.6,1.9,33422.62101173401
35,98,97,97.4,1.9,36053.17187309265
36,98,97,97.3,1.9,35236.04607582092
37,98,97,97.5,1.8,35362.46967315674
38,98,97,97.8,1.9,33849.96485710144
39,98,97,97.6,1.9,35492.45047569275
40,98,97,97.2,1.9,36057.039737701416
41,98,97,97.7,1.8,34117.12384223938
42,98,97,97.3,1.9,35326.067209243774
43,98,97,97.5,1.8,33872.310400009155
44,98,97,97.3,1.9,35622.51567840576
45,98,97,97.5,1.8,35311.02442741394
46,98,97,97.5,1.8,35983.853340148926
47,98,97,97.3,1.9,34994.051933288574
48,98,97,97.8,1.7,33473.09327125549
49,98,97,97.7,1.8,36662.928342819214
50,98,97,97.3,1.9,36847.423791885376
Media ,98.0,96.98,97.48200000000001,1.82,34477.88504123688
