Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.0,1.9,17303.22217941284
2,98,95,96.6,2.0,18762.129545211792
3,98,97,97.4,1.9,18339.696407318115
4,98,97,97.6,1.9,16646.872520446777
5,98,97,97.5,1.7,18227.16736793518
6,98,96,97.2,1.7,15190.130472183228
7,98,97,97.6,1.9,17503.262042999268
8,98,96,97.1,1.8,15586.42053604126
9,98,97,97.5,1.8,17966.784238815308
10,98,96,96.8,1.8,15670.685052871704
11,98,97,97.6,1.9,16697.79086112976
12,98,97,97.7,1.8,16865.739583969116
13,98,97,97.2,1.9,17683.598518371582
14,98,97,97.8,1.7,16818.75205039978
15,98,97,97.3,1.9,17225.07119178772
16,98,96,96.8,2.0,17926.790952682495
17,98,96,97.0,1.7,16028.150081634521
18,98,96,97.3,1.9,18692.31343269348
19,98,96,97.4,1.9,16838.92798423767
20,98,97,97.4,1.9,18284.838914871216
21,98,96,97.2,1.9,16955.338716506958
22,98,97,97.7,1.9,18386.958837509155
23,98,97,97.4,1.9,17504.688501358032
24,98,97,97.5,1.7,17261.82723045349
25,98,95,96.8,1.8,17138.19193840027
26,98,96,97.3,2.0,17507.75980949402
27,98,97,97.7,1.6,17632.259845733643
28,98,96,97.4,1.6,18065.394401550293
29,98,95,96.7,1.9,17105.030298233032
30,98,97,97.7,1.7,17043.197870254517
31,98,96,97.1,1.8,15584.393978118896
32,98,94,96.5,1.9,16873.800039291382
33,98,96,97.2,1.7,15123.146057128906
34,98,96,97.2,1.9,17633.57639312744
35,98,96,97.1,1.9,17615.206480026245
36,98,97,97.2,1.9,17840.977668762207
37,98,97,97.6,1.7,17494.62652206421
38,98,96,96.9,1.9,17908.58769416809
39,98,94,96.4,1.9,16531.40163421631
40,98,97,97.5,1.8,16819.1339969635
41,98,97,97.7,1.7,17318.150758743286
42,98,97,97.5,1.8,17444.88525390625
43,98,97,97.4,1.9,17575.381994247437
44,98,97,97.7,1.8,17456.356287002563
45,98,95,96.5,1.9,16276.176452636719
46,98,97,97.5,1.8,17196.25234603882
47,98,97,97.4,1.7,17459.028005599976
48,98,97,97.3,1.7,16455.687046051025
49,98,96,97.1,1.8,17912.670850753784
50,98,94,96.7,1.9,17942.065477371216
Media ,98.0,96.32,97.25399999999998,1.8280000000000003,17226.40992641449
