Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.1,1.8,18354.034900665283
2,98,97,97.8,1.8,17330.49488067627
3,98,96,97.0,1.9,19086.430072784424
4,98,97,97.6,1.7,18298.319578170776
5,98,96,97.0,1.9,17720.805406570435
6,98,97,97.5,1.7,17873.798847198486
7,98,97,97.5,1.9,16924.65591430664
8,98,97,97.4,1.8,17588.977336883545
9,98,97,97.7,1.9,18420.004844665527
10,98,95,97.0,1.7,15744.558572769165
11,98,96,96.7,1.9,19325.300931930542
12,98,96,96.7,1.8,16273.147821426392
13,98,97,97.5,1.8,17381.26230239868
14,98,97,97.3,1.8,18030.187368392944
15,98,97,97.3,1.9,17657.18936920166
16,98,97,97.1,1.9,18234.686374664307
17,98,97,97.3,1.8,16993.647813796997
18,98,97,97.3,1.8,16664.287567138672
19,98,94,96.2,2.0,19895.931720733643
20,98,97,97.7,1.7,17171.823024749756
21,98,97,97.5,1.9,17619.74549293518
22,98,95,96.8,1.9,17664.99662399292
23,98,96,97.3,2.0,17964.32113647461
24,98,97,97.3,1.8,17332.159996032715
25,98,96,97.2,1.9,17500.70548057556
26,98,95,96.9,1.9,18578.5231590271
27,98,97,97.6,2.0,17888.182401657104
28,98,96,97.3,1.7,16751.808404922485
29,98,95,96.3,1.9,17313.746213912964
30,98,97,97.5,1.9,16467.01216697693
31,98,97,97.7,1.8,17259.92727279663
32,98,94,96.9,1.7,18358.848571777344
33,98,97,97.6,1.8,17734.43579673767
34,98,96,97.0,2.0,19645.045518875122
35,98,96,97.0,1.9,15884.482383728027
36,98,96,97.0,1.9,18022.27210998535
37,98,97,97.3,1.7,16761.953592300415
38,98,97,97.3,1.8,16649.08266067505
39,98,96,97.0,1.9,18679.027795791626
40,98,97,97.3,1.9,17861.331701278687
41,98,97,97.6,1.9,17931.182384490967
42,98,97,97.6,1.7,17601.32122039795
43,98,97,97.6,1.9,17420.533895492554
44,98,96,97.0,1.9,18487.44821548462
45,98,97,97.3,1.8,18158.772230148315
46,98,97,97.7,1.7,17540.475130081177
47,98,97,97.3,1.8,19087.300777435303
48,98,97,97.3,1.8,16233.654022216797
49,98,97,97.8,1.7,16662.476539611816
50,98,97,97.4,1.8,18247.936725616455
Media ,98.0,96.46,97.26200000000003,1.8360000000000005,17685.56508541107
