Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.1,1.9,17857.295989990234
2,98,97,97.3,1.8,16354.752779006958
3,98,96,97.4,1.5,16862.80345916748
4,98,97,97.5,1.9,18351.72152519226
5,98,97,97.4,1.8,16482.673168182373
6,98,95,96.7,2.0,17873.666763305664
7,98,97,97.6,1.8,17361.848831176758
8,98,96,97.1,1.9,18271.1443901062
9,98,96,97.1,1.9,16427.509546279907
10,98,95,96.6,1.9,19473.44398498535
11,98,97,97.4,1.8,17779.31499481201
12,98,96,97.2,2.0,18233.561754226685
13,98,95,96.6,2.0,17784.926652908325
14,98,96,97.1,1.7,16358.412504196167
15,98,96,96.9,1.8,15623.403310775757
16,98,97,97.6,1.8,17675.304889678955
17,98,97,97.4,1.9,18180.88698387146
18,98,96,97.2,1.8,16709.50150489807
19,98,97,97.4,1.9,17316.178798675537
20,98,96,97.2,1.9,18825.85573196411
21,98,96,97.2,1.7,16438.48156929016
22,98,97,97.4,1.9,17873.17395210266
23,98,97,97.3,1.8,17585.38842201233
24,98,96,96.7,1.9,16826.15065574646
25,98,97,97.7,1.7,17186.931848526
26,98,97,97.5,1.8,17811.352491378784
27,98,97,97.7,1.8,17434.70525741577
28,98,96,97.3,1.7,18049.368858337402
29,98,95,96.6,1.9,17506.150722503662
30,98,97,97.5,1.7,18115.999460220337
31,98,97,97.4,1.7,16946.63691520691
32,98,96,97.0,1.8,17320.19281387329
33,98,96,97.3,1.8,18244.802236557007
34,98,96,96.8,1.8,16057.884216308594
35,98,97,97.4,1.9,17987.08438873291
36,98,97,97.3,1.8,18091.185569763184
37,98,97,97.6,1.7,17543.715953826904
38,98,97,97.3,1.8,17410.298347473145
39,98,96,97.2,1.8,17593.750953674316
40,98,96,96.9,1.9,17777.64940261841
41,98,97,97.2,1.8,16807.786226272583
42,98,96,97.2,1.9,18626.255750656128
43,98,97,97.7,1.8,17416.655778884888
44,98,97,97.5,1.8,17758.935928344727
45,98,96,97.2,1.8,17357.486248016357
46,98,94,96.7,1.8,18345.019340515137
47,98,97,97.1,1.9,17764.748096466064
48,98,96,97.2,1.7,15818.930625915527
49,98,97,97.3,1.9,18171.85640335083
50,98,96,97.3,1.9,18371.708154678345
Media ,98.0,96.36,97.226,1.824,17520.889883041382
