Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.5,1.7,17840.517282485962
2,98,97,97.4,1.7,18761.483669281006
3,98,97,97.4,1.8,15650.542497634888
4,98,96,97.1,1.8,15101.78256034851
5,98,96,97.4,2.0,18178.104162216187
6,98,96,96.9,1.8,18898.102045059204
7,98,97,97.4,1.7,16802.314043045044
8,98,97,97.3,1.8,18900.237798690796
9,98,96,97.1,2.0,17359.38596725464
10,98,94,96.3,1.9,18885.868549346924
11,98,94,96.4,1.9,19285.28356552124
12,98,95,96.9,2.0,18364.469289779663
13,98,97,97.3,1.9,17979.878425598145
14,98,96,97.0,1.9,16630.608081817627
15,98,97,97.5,1.9,17239.64238166809
16,98,94,96.6,1.8,16686.938285827637
17,98,96,97.2,1.8,18217.239379882812
18,98,97,97.7,1.8,17310.36067008972
19,98,97,97.5,1.9,17314.987182617188
20,98,96,96.8,1.9,17910.938262939453
21,98,96,97.3,1.7,18503.535985946655
22,98,97,97.2,1.9,15369.669198989868
23,98,97,97.6,1.8,17636.70039176941
24,98,97,97.4,1.7,17496.376514434814
25,98,96,97.0,1.8,17827.879667282104
26,98,97,97.7,1.8,17264.808893203735
27,98,96,97.2,2.0,17481.643438339233
28,98,94,95.4,1.9,17739.051818847656
29,98,95,96.6,1.9,19212.128400802612
30,98,97,97.3,1.9,18282.74154663086
31,98,97,97.2,1.9,18575.261116027832
32,98,97,97.5,1.7,18019.892930984497
33,98,97,97.4,1.9,17760.533571243286
34,98,96,96.9,1.8,16876.088857650757
35,98,97,97.6,1.7,17553.707122802734
36,98,97,97.7,1.8,17102.93960571289
37,98,97,97.7,1.9,18038.98859024048
38,98,96,96.9,1.8,15351.02367401123
39,98,97,97.3,1.8,18932.389974594116
40,98,97,97.4,1.7,17637.42470741272
41,98,95,96.9,1.8,15492.646932601929
42,98,97,97.5,1.9,17374.89676475525
43,98,95,96.8,1.9,16785.486221313477
44,98,96,97.2,1.9,17692.363500595093
45,98,96,97.2,2.0,19421.090364456177
46,98,95,96.6,1.8,16129.985332489014
47,98,96,97.0,2.0,18007.397174835205
48,98,97,97.4,1.8,17791.906595230103
49,98,96,97.4,1.7,18244.25983428955
50,98,96,97.2,1.7,15783.362627029419
Media ,98.0,96.22,97.16399999999997,1.8379999999999999,17574.09730911255
