Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.3,1.9,17530.457973480225
2,98,97,97.5,1.6,17223.689317703247
3,98,97,97.4,1.9,17934.8783493042
4,98,96,97.4,1.9,16628.462553024292
5,98,96,97.2,1.9,17149.576663970947
6,98,97,97.6,1.8,18297.83296585083
7,98,96,97.1,1.9,17881.680011749268
8,98,97,97.4,1.7,17816.035509109497
9,98,97,97.7,1.7,17259.23800468445
10,98,96,97.2,1.9,17980.01480102539
11,98,96,97.3,1.8,18345.22771835327
12,98,97,97.5,1.8,17538.920164108276
13,98,96,97.2,1.9,17714.03956413269
14,98,97,97.7,1.7,17742.6860332489
15,98,97,97.7,1.7,16787.578582763672
16,98,97,97.5,1.8,18161.449670791626
17,98,97,97.5,1.6,17963.725566864014
18,98,97,97.6,2.0,17892.14015007019
19,98,96,97.0,1.9,18204.64825630188
20,98,96,96.9,1.8,16565.71936607361
21,98,97,97.2,1.9,17727.675437927246
22,98,94,96.2,1.8,16303.011417388916
23,98,96,97.2,1.9,16811.382293701172
24,98,97,97.5,1.8,17516.029119491577
25,98,97,97.3,1.8,16876.293420791626
26,98,97,97.6,1.9,17658.885955810547
27,98,97,97.7,1.7,17339.836597442627
28,98,97,97.2,1.9,18307.201623916626
29,98,95,97.1,1.8,18942.668437957764
30,98,97,97.5,1.9,17716.86363220215
31,98,96,97.3,1.7,17677.93083190918
32,98,97,97.4,1.8,18488.043308258057
33,98,96,97.1,2.0,18883.788108825684
34,98,96,96.9,1.7,16976.548671722412
35,98,97,97.3,1.8,18008.98051261902
36,98,96,96.9,2.0,18177.107572555542
37,98,96,96.9,1.9,17679.32367324829
38,98,97,97.5,1.9,17275.219440460205
39,98,97,97.3,1.8,17577.88920402527
40,98,97,97.4,1.8,18678.549766540527
41,98,95,96.9,1.8,17088.99188041687
42,98,96,97.0,1.9,17100.67868232727
43,98,97,97.5,1.7,17516.41273498535
44,98,97,97.7,1.8,17170.474529266357
45,98,97,97.2,1.8,16283.725261688232
46,98,97,97.5,1.9,17594.96760368347
47,98,97,97.6,1.7,17078.933238983154
48,98,96,97.0,1.9,18594.32864189148
49,98,95,96.5,1.9,17183.098077774048
50,98,97,97.2,1.9,18931.788682937622
Media ,98.0,96.5,97.286,1.8260000000000003,17635.692591667175
