Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.3,1.8,17541.919946670532
2,98,96,97.1,1.8,16925.933122634888
3,98,94,95.6,1.9,17156.901836395264
4,98,97,97.5,1.8,16929.515838623047
5,98,97,97.7,1.7,16733.87908935547
6,98,96,96.5,1.9,16795.366525650024
7,98,97,97.6,1.8,16767.940044403076
8,98,97,97.7,1.9,16570.451498031616
9,98,96,96.6,1.9,16433.908939361572
10,98,97,97.7,1.8,17415.398359298706
11,98,97,97.7,1.8,17147.71819114685
12,98,96,96.8,1.9,16467.419385910034
13,98,97,97.3,1.8,18715.902090072632
14,98,96,97.0,1.7,16724.9014377594
15,98,96,97.1,1.9,19687.119245529175
16,98,97,97.5,1.6,17580.044984817505
17,98,96,97.1,1.7,15908.43653678894
18,98,96,97.2,1.9,17501.035451889038
19,98,97,97.6,1.8,17722.848653793335
20,98,97,97.5,1.8,17381.526947021484
21,98,96,97.1,2.0,16485.427379608154
22,98,96,97.0,1.8,16548.588037490845
23,98,94,95.9,1.9,17224.957942962646
24,98,96,97.3,2.0,17610.707759857178
25,98,97,97.5,1.9,17055.371522903442
26,98,97,97.4,1.8,17466.980934143066
27,98,97,97.7,1.8,17069.52714920044
28,98,96,96.8,1.9,17340.340852737427
29,98,97,97.7,1.8,16891.09230041504
30,98,97,97.5,1.8,17168.8871383667
31,98,97,97.5,1.8,17443.925857543945
32,98,95,96.9,1.8,16367.802858352661
33,98,97,97.6,1.7,17103.18350791931
34,98,97,97.3,1.8,17543.890714645386
35,98,96,97.1,1.7,15604.438781738281
36,98,97,97.6,1.9,17162.86325454712
37,98,96,97.2,1.8,18409.396648406982
38,98,95,96.4,1.9,18704.982042312622
39,98,96,96.8,1.9,16597.2580909729
40,98,97,97.6,1.9,16876.17325782776
41,98,96,97.1,1.9,18445.60217857361
42,98,95,96.7,1.9,16953.850984573364
43,98,97,97.5,1.8,17123.565673828125
44,98,96,96.7,1.9,17305.04536628723
45,98,97,97.3,1.8,17707.781314849854
46,98,97,97.5,1.8,18233.401775360107
47,98,96,97.4,1.7,17080.97505569458
48,98,95,97.0,1.8,17512.855291366577
49,98,96,97.0,1.9,17411.280155181885
50,98,97,97.3,1.8,18214.582920074463
Media ,98.0,96.34,97.18999999999998,1.828,17255.458097457886
