Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,99,98,98.4,1.9,18196.91491127014
2,99,98,98.5,1.7,18411.729097366333
3,99,98,98.6,2.0,16450.057983398438
4,99,98,98.5,1.8,18032.346725463867
5,99,98,98.4,1.8,17942.302465438843
6,99,98,98.5,1.9,18458.486557006836
7,99,98,98.6,1.7,18974.377870559692
8,99,98,98.4,2.0,18110.182523727417
9,99,98,98.5,1.7,17729.509353637695
10,99,98,98.4,1.9,18746.78683280945
11,99,98,98.5,1.7,18806.318521499634
12,99,98,98.5,1.7,18115.941524505615
13,99,98,98.4,1.8,18079.70929145813
14,99,98,98.7,1.7,16737.45346069336
15,99,98,98.5,1.8,17717.421293258667
16,99,98,98.6,1.8,18748.28314781189
17,99,98,98.5,1.7,18366.93787574768
18,99,98,98.8,1.7,16810.057640075684
19,99,98,98.4,1.8,18511.66820526123
20,99,98,98.6,1.9,15675.98032951355
21,99,98,98.4,1.8,18535.121202468872
22,99,98,98.4,1.9,17894.874811172485
23,99,98,98.5,1.7,18568.063259124756
24,99,98,98.5,1.8,17929.23355102539
25,99,98,98.4,1.9,18640.987873077393
26,99,98,98.8,1.7,17168.089389801025
27,99,98,98.6,1.8,16986.950635910034
28,99,98,98.4,1.8,18743.50666999817
29,99,98,98.3,1.9,18835.946798324585
30,99,98,98.5,1.7,18684.285163879395
31,99,98,98.6,1.7,18223.86360168457
32,99,98,98.4,1.8,18548.358917236328
33,99,98,98.3,2.0,18668.76983642578
34,99,98,98.6,1.8,16949.620008468628
35,99,98,98.5,1.7,18781.190872192383
36,99,98,98.7,1.9,16808.62545967102
37,99,98,98.8,1.8,17055.22108078003
38,99,98,98.5,1.7,18608.15954208374
39,99,98,98.8,1.7,16867.330074310303
40,99,98,98.4,1.9,18835.768699645996
41,99,98,98.5,1.7,18336.798191070557
42,99,98,98.3,2.0,18161.21745109558
43,99,98,98.4,1.8,18127.328395843506
44,99,98,98.5,1.8,15270.358324050903
45,99,98,98.6,1.8,18405.996799468994
46,99,98,98.6,1.8,38466.68553352356
47,99,98,98.5,1.8,17886.977672576904
48,99,98,98.6,1.9,16908.04696083069
49,99,98,98.4,1.9,17607.136726379395
50,99,98,98.4,1.9,18563.465118408203
Media ,99.0,98.0,98.51000000000002,1.808,18353.808884620667
