Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.3,1.8,22878.9701461792
2,98,97,97.4,2.0,21084.946155548096
3,98,97,97.6,1.8,21121.73581123352
4,98,97,97.5,1.9,21770.283460617065
5,98,97,97.5,1.9,21617.738246917725
6,98,97,97.5,1.9,21074.09644126892
7,98,97,97.7,1.8,21051.47624015808
8,98,97,97.5,1.8,22143.036603927612
9,98,96,97.0,1.9,21701.624870300293
10,98,97,97.6,1.8,21734.236478805542
11,98,96,97.2,1.7,20457.07416534424
12,98,97,97.4,1.8,22318.900108337402
13,98,97,97.6,2.0,21065.404891967773
14,98,97,97.5,1.8,22975.208044052124
15,98,97,97.7,1.7,21744.96579170227
16,98,96,97.0,1.9,22056.43939971924
17,98,97,97.5,1.7,22435.394525527954
18,98,97,97.5,1.8,21899.678707122803
19,98,97,97.4,1.8,22806.75959587097
20,98,97,97.6,1.7,22583.878993988037
21,98,97,97.5,1.7,23009.08613204956
22,98,97,97.6,1.9,21326.60675048828
23,98,97,97.4,1.7,22821.638345718384
24,98,97,97.7,1.8,21135.541439056396
25,98,97,97.4,1.8,22242.281675338745
26,98,97,97.2,1.9,22706.5646648407
27,98,97,97.4,1.9,21864.797353744507
28,98,97,97.4,1.9,22395.96199989319
29,98,97,97.5,1.8,22616.302728652954
30,98,97,97.7,1.8,21409.24072265625
31,98,97,97.4,1.7,22006.415605545044
32,98,97,97.6,1.8,20997.658729553223
33,98,97,97.5,1.9,22083.455562591553
34,98,97,97.3,2.0,21810.957431793213
35,98,97,97.4,1.9,22276.27992630005
36,98,97,97.6,1.9,21105.695247650146
37,98,97,97.2,1.9,21783.576250076294
38,98,97,97.3,1.9,21775.83360671997
39,98,97,97.5,1.8,22230.509757995605
40,98,97,97.4,1.8,21847.00894355774
41,98,97,97.4,1.7,21930.89461326599
42,98,97,97.8,1.7,21839.26272392273
43,98,97,97.4,1.8,22436.341285705566
44,98,97,97.4,1.8,20881.36315345764
45,98,97,97.6,2.0,21373.72612953186
46,98,97,97.2,1.8,21452.40592956543
47,98,97,97.3,1.9,22120.71681022644
48,98,97,97.4,1.8,21072.890520095825
49,98,97,97.3,1.9,21438.884735107422
50,98,97,97.5,1.8,21714.320182800293
Media ,98.0,96.94,97.446,1.83,21844.561352729797
