Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.8,1.8,17420.448064804077
2,98,96,97.3,1.8,16702.27098464966
3,98,97,97.5,1.9,17726.25207901001
4,98,96,97.3,1.7,18805.60851097107
5,98,97,97.5,1.8,18282.99570083618
6,98,97,97.9,1.7,17463.04988861084
7,98,97,97.2,1.8,15847.001552581787
8,98,97,97.5,1.9,18750.8282661438
9,98,95,96.8,1.7,16685.15133857727
10,98,97,97.2,1.8,15853.116512298584
11,98,97,97.6,1.8,18176.060676574707
12,98,97,97.6,1.7,17667.667865753174
13,98,97,97.5,1.6,19281.821966171265
14,98,96,97.2,1.9,17539.24322128296
15,98,97,97.5,1.8,17750.397443771362
16,98,97,97.5,1.9,17534.120798110962
17,98,97,97.6,1.9,17664.76058959961
18,98,97,97.7,1.7,17883.814334869385
19,98,97,97.4,1.9,17924.37982559204
20,98,97,97.5,1.8,18455.61122894287
21,98,95,96.8,1.8,16931.236267089844
22,98,96,96.7,2.0,18098.87719154358
23,98,96,97.4,1.7,18571.20656967163
24,98,94,96.7,1.7,17582.64398574829
25,98,97,97.6,1.9,17149.65057373047
26,98,97,97.5,1.7,17706.48431777954
27,98,96,97.2,1.9,17732.658863067627
28,98,96,97.4,1.7,17515.56634902954
29,98,94,96.4,1.9,17534.874200820923
30,98,96,97.2,2.0,19093.16658973694
31,98,97,97.2,1.9,19057.806253433228
32,98,97,97.6,1.8,17344.79331970215
33,98,96,97.0,1.9,17581.4151763916
34,98,97,97.2,1.9,18485.157251358032
35,98,96,97.0,1.8,19064.28813934326
36,98,97,97.7,1.7,17862.093210220337
37,98,97,97.3,1.9,18357.375383377075
38,98,96,97.0,2.0,19694.98062133789
39,98,97,97.8,1.8,17607.404470443726
40,98,96,97.2,1.8,18293.469429016113
41,98,97,97.7,1.9,17499.758005142212
42,98,97,97.3,1.9,18290.913343429565
43,98,97,97.6,1.7,17780.565977096558
44,98,97,97.3,1.9,18773.52523803711
45,98,97,97.5,1.8,18084.00249481201
46,98,94,96.2,1.9,18340.8465385437
47,98,94,96.2,1.9,17226.405143737793
48,98,96,96.9,1.9,17684.68999862671
49,98,96,97.2,1.8,18628.997802734375
50,98,97,97.5,1.8,18275.333166122437
Media ,98.0,96.4,97.28799999999997,1.8240000000000003,17905.295734405518
