Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.3,1.9,17744.529962539673
2,98,97,97.4,1.9,17510.656118392944
3,98,96,96.7,1.9,16275.558233261108
4,98,96,97.3,1.8,17430.772304534912
5,98,97,97.3,1.9,16802.222728729248
6,98,97,97.5,1.7,17834.55228805542
7,98,97,97.5,1.9,16321.470499038696
8,98,96,97.3,1.7,17654.505491256714
9,98,97,97.3,1.9,18309.274196624756
10,98,96,97.4,1.9,16836.365938186646
11,98,94,96.3,1.9,16985.190868377686
12,98,96,97.0,1.9,18316.28394126892
13,98,96,97.5,1.8,16906.506299972534
14,98,97,97.3,1.9,18200.0150680542
15,98,97,97.4,1.8,17350.58569908142
16,98,97,97.6,1.7,18408.162355422974
17,98,97,97.4,1.8,16204.118251800537
18,98,96,97.0,1.9,16915.10820388794
19,98,96,97.3,1.9,17737.71905899048
20,98,96,97.1,2.0,17908.418655395508
21,98,91,94.8,1.9,17480.523824691772
22,98,97,97.2,1.9,18572.505235671997
23,98,97,97.1,1.9,16598.05178642273
24,98,97,97.6,1.9,16559.821128845215
25,98,97,97.5,1.8,17035.9845161438
26,98,96,97.2,1.8,16563.037633895874
27,98,97,97.4,1.9,17078.394651412964
28,98,97,97.6,1.7,17270.405530929565
29,98,96,97.2,1.9,17088.35244178772
30,98,95,96.7,1.9,16440.425395965576
31,98,97,97.5,1.7,16465.8100605011
32,98,97,97.4,1.8,15904.941082000732
33,98,96,97.1,1.8,18783.75267982483
34,98,97,97.2,1.8,15452.597379684448
35,98,96,97.3,1.9,17606.780529022217
36,98,96,97.0,1.9,17100.69966316223
37,98,97,97.6,1.8,17222.62954711914
38,98,97,97.1,1.9,16746.83904647827
39,98,97,97.3,2.0,17745.164155960083
40,98,96,97.0,1.9,16268.616199493408
41,98,96,97.4,1.8,17087.93544769287
42,98,97,97.4,1.9,17398.12707901001
43,98,96,97.1,1.9,18155.79056739807
44,98,97,97.3,1.9,17648.327589035034
45,98,95,96.8,2.0,18169.88444328308
46,98,97,97.6,1.7,17776.50547027588
47,98,97,97.6,1.9,16950.960636138916
48,98,97,97.3,1.9,18495.715856552124
49,98,95,96.5,1.9,17422.990798950195
50,98,97,97.3,1.8,18297.481536865234
Media ,98.0,96.36,97.20000000000002,1.8580000000000003,17300.821361541748
