Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,97,97.4,1.8,17744.815826416016
2,98,97,97.4,1.9,18336.280345916748
3,98,95,96.7,1.9,18098.81281852722
4,98,96,97.2,2.0,18321.167707443237
5,98,96,97.1,1.8,18266.637802124023
6,98,97,97.4,1.9,17196.610927581787
7,98,95,96.6,1.9,16953.446865081787
8,98,96,97.1,1.9,17970.74794769287
9,98,96,97.2,1.7,16420.098066329956
10,98,96,97.1,1.9,18493.481874465942
11,98,96,97.1,2.0,17128.617763519287
12,98,97,97.3,2.0,17927.54864692688
13,98,96,97.2,1.8,16289.18194770813
14,98,96,97.0,1.9,19475.17704963684
15,98,97,97.3,1.9,18177.793264389038
16,98,94,95.9,1.9,19311.387062072754
17,98,97,97.5,1.8,17590.39330482483
18,98,96,97.0,2.0,18652.759552001953
19,98,94,96.4,1.9,17698.827266693115
20,98,97,97.5,1.8,17299.803972244263
21,98,97,97.4,1.9,17764.570236206055
22,98,97,97.4,1.7,18079.346895217896
23,98,97,97.4,1.8,17205.745220184326
24,98,96,97.0,1.9,16894.035577774048
25,98,97,97.2,1.9,17672.678470611572
26,98,97,97.3,1.8,17669.376611709595
27,98,95,96.5,1.8,17028.421878814697
28,98,96,97.2,1.9,18671.738862991333
29,98,95,96.7,1.8,16347.023487091064
30,98,97,97.5,1.9,17948.512077331543
31,98,96,97.1,1.7,15467.324018478394
32,98,97,97.8,1.8,17438.90905380249
33,98,97,97.3,1.8,18776.65376663208
34,98,96,97.1,1.9,18754.783153533936
35,98,96,97.2,1.9,17468.490600585938
36,98,95,96.8,1.9,18293.71666908264
37,98,97,97.2,1.9,19005.82194328308
38,98,97,97.5,1.9,17972.65625
39,98,96,97.0,1.9,18298.49886894226
40,98,95,96.7,1.8,15923.886060714722
41,98,97,97.3,1.8,18915.23313522339
42,98,97,97.5,1.8,17468.193292617798
43,98,97,97.5,1.9,17081.592798233032
44,98,95,96.7,1.9,18303.442239761353
45,98,96,97.2,1.7,18443.838357925415
46,98,96,97.4,1.6,18354.650497436523
47,98,96,97.2,1.7,18360.214471817017
48,98,96,96.9,1.9,18305.132627487183
49,98,97,97.6,1.8,18076.858520507812
50,98,97,97.6,1.8,17602.57911682129
Media ,98.0,96.22,97.15199999999999,1.85,17818.950295448303
