Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.0,1.8,16544.166088104248
2,98,96,97.3,1.8,18867.940425872803
3,98,97,97.6,1.7,17840.872049331665
4,98,96,97.2,1.9,17842.829942703247
5,98,97,97.5,1.9,17509.25087928772
6,98,97,97.7,1.9,17455.02018928528
7,98,97,97.6,1.7,18299.360275268555
8,98,97,97.4,1.8,17854.48145866394
9,98,96,97.1,1.9,19316.247940063477
10,98,97,97.4,1.9,18183.30979347229
11,98,96,97.1,1.9,16502.18963623047
12,98,96,97.1,1.8,18424.996852874756
13,98,96,97.2,1.9,18407.5288772583
14,98,97,97.5,1.8,18645.81346511841
15,98,97,97.5,1.6,17040.781497955322
16,98,96,97.0,1.8,15912.479400634766
17,98,96,97.1,1.8,16589.556217193604
18,98,96,96.9,1.9,18060.73808670044
19,98,97,97.5,1.8,17884.7393989563
20,98,97,97.6,1.6,17470.516443252563
21,98,96,97.0,1.9,16235.886335372925
22,98,95,96.5,2.0,17374.024152755737
23,98,96,97.1,1.8,16469.64383125305
24,98,96,96.8,2.1,17765.531539916992
25,98,96,97.2,1.7,15798.391342163086
26,98,97,97.4,1.9,18309.518814086914
27,98,94,95.8,1.9,17961.87424659729
28,98,97,97.6,1.8,17973.22392463684
29,98,96,96.6,1.9,18452.47983932495
30,98,96,97.2,1.9,15594.681024551392
31,98,97,97.5,1.9,16968.7442779541
32,98,97,97.6,1.8,17187.240600585938
33,98,97,97.6,1.9,17023.80061149597
34,98,95,96.7,1.9,18015.530347824097
35,98,96,96.9,1.9,17545.220613479614
36,98,97,97.4,1.7,16387.288331985474
37,98,97,97.5,1.9,18116.64319038391
38,98,97,97.5,1.8,17687.498807907104
39,98,96,97.0,1.9,17636.60216331482
40,98,94,96.6,1.8,18005.28597831726
41,98,97,97.3,1.9,18896.753311157227
42,98,97,97.4,1.7,18757.912158966064
43,98,97,97.5,1.8,17456.865787506104
44,98,97,97.4,1.8,18328.83858680725
45,98,96,97.1,1.8,18208.356618881226
46,98,97,97.3,1.8,16872.289419174194
47,98,96,96.9,1.9,17283.067226409912
48,98,97,97.6,1.9,17251.214265823364
49,98,97,97.3,1.8,17837.26453781128
50,98,96,97.2,1.8,16908.626556396484
Media ,98.0,96.38,97.21600000000001,1.8359999999999999,17579.262347221375
