Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,95,96.9,1.8,17386.581659317017
2,98,97,97.4,1.7,18785.480260849
3,98,96,97.1,1.9,18323.204278945923
4,98,96,97.1,1.9,17473.560094833374
5,98,97,97.5,1.9,17093.174934387207
6,98,97,97.7,1.7,17305.912971496582
7,98,96,97.0,1.9,17317.824602127075
8,98,96,97.1,1.9,17183.579921722412
9,98,96,97.1,1.8,16957.88288116455
10,98,97,97.7,1.8,17173.54393005371
11,98,97,97.5,1.8,17518.483638763428
12,98,95,96.6,1.9,17368.98708343506
13,98,97,97.5,1.8,18081.52675628662
14,98,97,97.3,1.9,16699.815034866333
15,98,96,97.0,1.9,18822.441577911377
16,98,96,97.2,1.8,17355.89361190796
17,98,96,97.3,1.8,18588.01531791687
18,98,97,97.2,1.9,18636.333465576172
19,98,97,97.8,1.8,17171.72408103943
20,98,97,97.5,1.7,18509.23752784729
21,98,97,97.6,1.8,16998.68679046631
22,98,97,97.3,1.9,18137.500286102295
23,98,96,96.9,1.9,17775.464057922363
24,98,96,97.3,1.9,18320.340394973755
25,98,96,97.1,1.9,17635.379314422607
26,98,97,97.4,1.8,17699.798822402954
27,98,97,97.4,1.9,17075.374841690063
28,98,96,96.9,1.9,17479.98356819153
29,98,97,97.4,2.0,17321.44784927368
30,98,97,97.5,1.7,17142.926931381226
31,98,97,97.6,1.8,17742.81096458435
32,98,97,97.4,2.0,16412.487506866455
33,98,96,97.0,1.6,15433.395147323608
34,98,97,97.5,1.8,17174.13640022278
35,98,97,97.6,1.7,17691.66088104248
36,98,97,97.7,1.6,18010.919332504272
37,98,97,97.7,1.8,17082.003831863403
38,98,97,97.5,1.6,18102.848291397095
39,98,96,97.0,1.7,15718.390226364136
40,98,96,97.3,1.9,17531.77833557129
41,98,96,97.4,1.8,17341.24517440796
42,98,96,97.1,2.0,17930.767059326172
43,98,97,97.3,1.9,18177.63876914978
44,98,97,97.3,1.9,17990.15784263611
45,98,97,97.3,1.9,18428.781270980835
46,98,97,97.5,1.8,17359.968662261963
47,98,97,97.3,1.8,15235.57424545288
48,98,97,97.5,1.9,17166.735887527466
49,98,97,97.4,1.8,18840.110063552856
50,98,97,97.6,1.9,16897.311687469482
Media ,98.0,96.58,97.32600000000002,1.83,17512.17656135559
