Iteration,Best Frequency,Worst Frequency,Frequency Average,Event Average,Time
1,98,96,97.2,1.8,17828.639030456543
2,98,96,97.0,2.0,17539.990425109863
3,98,96,97.1,1.9,18567.979097366333
4,98,97,97.5,1.7,18192.596435546875
5,98,96,97.1,1.9,17678.92098426819
6,98,97,97.5,1.6,15899.690866470337
7,98,96,96.7,1.8,17523.4591960907
8,98,96,97.1,1.8,17750.451803207397
9,98,97,97.3,1.7,15395.734310150146
10,98,96,96.6,1.9,16897.8374004364
11,98,97,97.3,2.0,17922.811269760132
12,98,97,97.7,1.9,17470.53050994873
13,98,97,97.6,1.7,17335.063934326172
14,98,96,97.2,1.8,17207.65733718872
15,98,97,97.6,1.8,17180.695295333862
16,98,97,97.8,1.7,17075.519323349
17,98,96,97.0,1.8,16068.877458572388
18,98,97,97.5,1.9,17158.156156539917
19,98,96,97.1,1.9,18100.934505462646
20,98,96,97.2,1.8,17973.527908325195
21,98,97,97.6,1.8,17287.20450401306
22,98,97,97.2,1.9,17769.416332244873
23,98,96,97.2,1.8,18632.068872451782
24,98,97,97.5,1.7,17768.9471244812
25,98,97,97.6,1.7,17800.89807510376
26,98,97,97.4,1.9,17023.05507659912
27,98,97,97.4,1.8,18787.66107559204
28,98,97,97.6,1.9,17127.609729766846
29,98,97,97.7,1.7,17818.32265853882
30,98,97,97.6,1.8,17387.671947479248
31,98,97,97.4,2.0,16992.851972579956
32,98,96,97.2,1.8,17700.20031929016
33,98,96,96.8,1.9,17465.006828308105
34,98,96,97.0,1.9,18604.984045028687
35,98,96,97.2,1.9,17878.352165222168
36,98,97,97.5,1.7,18519.10352706909
37,98,97,97.5,1.9,16973.06728363037
38,98,97,97.3,1.9,18883.98766517639
39,98,97,97.5,1.6,18913.530826568604
40,98,97,97.3,1.9,17553.943157196045
41,98,96,97.2,1.9,18363.18850517273
42,98,96,96.9,1.9,16706.36558532715
43,98,97,97.3,1.7,15926.999568939209
44,98,97,97.4,1.9,18677.067518234253
45,98,96,97.2,1.7,15375.722885131836
46,98,96,97.1,1.9,18583.032846450806
47,98,97,97.6,1.7,17763.41438293457
48,98,97,97.5,1.8,17273.986101150513
49,98,96,97.0,1.9,17682.082176208496
50,98,97,97.3,1.9,18287.97435760498
Media ,98.0,96.58,97.30199999999999,1.8240000000000007,17565.93580722809
